what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1373705364853
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1373705365415
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20110728_r371,"org.eclipse.pde.api.tools",1373705369790
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1373705369947
started,bundle,org.eclipse.jpt.jaxb.core,1.0.1.v201108080010,"org.eclipse.jpt.jaxb.core",1373705381087
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373705382618
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373705382712
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1373705394275
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1373705394322
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1373705394353
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1373705396212
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1373705430150
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1373705434165
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373705456572
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373705539118
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1373705539134
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373705552587
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373707597650
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1373707602806
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.ClassFileEditor",1373707609275
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.ClassFileEditor",1373707609665
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373707609697
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373707614509
